price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,sqft_above,sqft_basement,yr_built,yr_renovated,city,statezip,log_price,house_age,since_renovation
313000.0,3.0,1.5,1340,7912,1.5,0,0,3,1340,0,1955,2005,Shoreline,WA 98133,12.65395846952229,59,9
342000.0,3.0,2.0,1930,11947,1.0,0,0,4,1930,0,1966,0,Kent,WA 98042,12.742566016044742,48,48
420000.0,3.0,2.25,2000,8030,1.0,0,0,4,1000,1000,1963,0,Bellevue,WA 98008,12.948009990259552,51,51
550000.0,4.0,2.5,1940,10500,1.0,0,0,4,1140,800,1976,1992,Redmond,WA 98052,13.217673557208654,38,22
490000.0,2.0,1.0,880,6380,1.0,0,0,3,880,0,1938,1994,Seattle,WA 98115,13.102160670086809,76,20
335000.0,2.0,2.0,1350,2560,1.0,0,0,3,1350,0,1976,0,Redmond,WA 98052,12.721885810807203,38,38
640000.0,4.0,2.0,1520,6200,1.5,0,0,3,1520,0,1945,2010,Seattle,WA 98115,13.369223455335854,69,4
463000.0,3.0,1.75,1710,7320,1.0,0,0,3,1710,0,1948,1994,Lake Forest Park,WA 98155,13.045482333068371,66,20
1400000.0,4.0,2.5,2920,4000,1.5,0,0,5,1910,1010,1909,1988,Seattle,WA 98105,14.151982794585487,105,26
588500.0,3.0,1.75,2330,14892,1.0,0,0,3,1970,360,1980,0,Sammamish,WA 98074,13.285332205682469,34,34
365000.0,3.0,1.0,1090,6435,1.0,0,0,4,1090,0,1955,2009,Seattle,WA 98106,12.80765263256463,59,5
1200000.0,5.0,2.75,2910,9480,1.5,0,0,3,2910,0,1939,1969,Seattle,WA 98105,13.997832114758229,75,45
242500.0,3.0,1.5,1200,9720,1.0,0,0,4,1200,0,1965,0,Kent,WA 98042,12.398756989359676,49,49
419000.0,3.0,1.5,1570,6700,1.0,0,0,4,1570,0,1956,0,Bellevue,WA 98007,12.945626198904275,58,58
367500.0,4.0,3.0,3110,7231,2.0,0,0,3,3110,0,1997,0,Auburn,WA 98092,12.814478597635029,17,17
257950.0,3.0,1.75,1370,5858,1.0,0,0,3,1370,0,1987,2000,Des Moines,WA 98198,12.460521046672795,27,14
275000.0,3.0,1.5,1180,10277,1.0,0,0,3,1180,0,1983,2009,North Bend,WA 98045,12.524526376648708,31,5
750000.0,3.0,1.75,2240,10578,2.0,0,0,5,1550,690,1923,0,Seattle,WA 98115,13.527828485512494,91,91
435000.0,4.0,1.0,1450,8800,1.0,0,0,4,1450,0,1954,1979,Bellevue,WA 98006,12.983101310070822,60,35
626000.0,3.0,2.25,1750,1572,2.5,0,0,3,1470,280,2005,0,Seattle,WA 98102,13.347105650082236,9,9
612500.0,4.0,2.5,2730,12261,2.0,0,0,3,2730,0,1991,0,Bothell,WA 98011,13.32530422140102,23,23
495000.0,4.0,1.75,1600,6380,1.0,0,0,3,1130,470,1959,1989,Seattle,WA 98125,13.112313041550827,55,25
285000.0,3.0,2.5,2090,10834,1.0,0,0,4,1360,730,1987,0,Federal Way,WA 98003,12.560244459250788,27,27
615000.0,3.0,1.75,2360,7291,1.0,0,0,4,1360,1000,1948,0,Seattle,WA 98136,13.329377546788654,66,66
698000.0,4.0,2.25,2200,11250,1.5,0,0,5,1300,900,1920,0,Kirkland,WA 98033,13.45597438174451,94,94
790000.0,3.0,2.5,2600,4750,1.0,0,0,4,1700,900,1951,1999,Seattle,WA 98117,13.579788224443204,63,15
382500.0,4.0,1.75,1560,8700,1.0,0,0,4,1560,0,1967,0,Kirkland,WA 98034,12.854483932248728,47,47
499950.0,4.0,2.5,2860,3345,2.0,0,0,3,2190,670,2004,2003,Woodinville,WA 98072,13.122263372403996,10,11
650000.0,4.0,2.0,1820,5000,1.5,0,1,3,1640,180,1945,2010,Seattle,WA 98115,13.38472764187182,69,4
625000.0,4.0,2.5,2820,8408,2.0,0,0,3,2820,0,2014,0,Shoreline,WA 98155,13.345506928718539,0,0
440000.0,2.0,1.0,800,4850,1.0,0,0,4,800,0,1944,0,Seattle,WA 98107,12.994530005894443,70,70
403000.0,3.0,2.0,1960,13100,1.0,0,2,5,1650,310,1957,0,Normandy Park,WA 98166,12.90669184092882,57,57
750000.0,3.0,2.5,2390,6550,1.0,0,2,4,1440,950,1955,2009,Seattle,WA 98116,13.527828485512494,59,5
335000.0,3.0,2.25,1580,16215,1.0,0,0,4,1580,0,1978,2000,Fall City,WA 98024,12.721885810807203,36,14
260000.0,4.0,2.0,1480,8625,1.0,0,0,4,1480,0,1974,0,Renton,WA 98055,12.468436909997665,40,40
308500.0,2.0,1.0,850,6174,1.0,0,0,4,850,0,1950,1983,Shoreline,WA 98155,12.63947712232758,64,31
439950.0,3.0,2.5,1770,2875,2.0,0,0,3,1770,0,1990,2009,Seattle,WA 98116,12.994416363073707,24,5
235000.0,2.0,1.0,1210,9400,1.0,0,0,2,1210,0,1949,0,Seattle,WA 98106,12.367340793126296,65,65
315000.0,3.0,1.0,1160,9180,1.0,0,0,3,1160,0,1968,1997,Woodinville,WA 98077,12.66032791780777,46,17
407500.0,3.0,2.5,1930,10460,2.0,0,0,3,1930,0,1996,0,Renton,WA 98059,12.917796211663054,18,18
445700.0,3.0,2.5,1270,1180,3.0,0,0,3,1270,0,2001,0,Seattle,WA 98107,13.007401358934647,13,13
805000.0,3.0,2.0,2710,4500,1.5,0,0,4,1880,830,1929,0,Seattle,WA 98115,13.5985975564007,85,85
470000.0,5.0,2.5,2210,9655,1.0,0,0,3,1460,750,1976,0,Bothell,WA 98011,13.060487973686241,38,38
430000.0,4.0,1.5,1920,10000,1.0,0,0,4,1070,850,1954,1979,Bellevue,WA 98006,12.971540487669746,60,35
785000.0,5.0,3.25,3660,11995,2.0,0,2,3,3660,0,2006,0,Snoqualmie,WA 98065,13.573438996764546,8,8
385000.0,3.0,3.25,1320,1327,2.0,0,0,3,1040,280,2008,0,Seattle,WA 98199,12.86099861326992,6,6
295000.0,2.0,2.5,1630,1368,2.0,0,0,3,1280,350,2009,0,Seattle,WA 98106,12.594730635321957,5,5
555000.0,4.0,2.5,3310,6500,2.0,0,0,3,3310,0,2012,1912,Snoqualmie,WA 98065,13.226723392728571,2,102
459990.0,3.0,2.5,2680,5539,2.0,0,0,3,2680,0,2013,1923,North Bend,WA 98045,13.038960029098545,1,91
300000.0,3.0,2.5,2540,5050,2.0,0,0,3,2540,0,2006,0,Kent,WA 98042,12.611537753638338,8,8
625000.0,4.0,2.75,2920,6605,2.0,0,0,3,2920,0,2012,1912,Renton,WA 98059,13.345506928718539,2,102
553000.0,2.0,1.0,900,5000,1.0,0,0,3,900,0,1944,0,Seattle,WA 98117,13.223113280504473,70,70
379880.0,3.0,2.5,1650,14054,1.0,0,0,4,1130,520,1986,0,Issaquah,WA 98027,12.84761069235689,28,28
310000.0,3.0,1.0,1010,9945,1.0,0,0,4,1010,0,1973,0,Snoqualmie,WA 98065,12.644327576461329,41,41
775000.0,2.0,2.5,2680,7392,1.0,0,0,3,2680,0,2004,2003,Redmond,WA 98053,13.560618308335483,10,11
365000.0,3.0,2.5,2200,7350,1.0,0,0,5,1570,630,1988,0,Renton,WA 98058,12.80765263256463,26,26
331950.0,4.0,2.5,2530,9933,2.0,0,2,3,2010,520,1990,2009,Auburn,WA 98092,12.712739634147306,24,5
783500.0,3.0,2.5,2850,7130,2.0,0,0,3,1990,860,1980,0,Seattle,WA 98122,13.571526340778213,34,34
628000.0,4.0,2.0,2280,6010,1.0,0,0,3,1140,1140,1900,2005,Seattle,WA 98122,13.350295445450335,114,9
560000.0,3.0,2.5,1900,8744,2.0,0,0,3,1900,0,1987,2000,Sammamish,WA 98074,13.235692062711331,27,14
531000.0,2.0,3.0,1270,1175,2.0,0,0,3,1110,160,2000,0,Seattle,WA 98103,13.182517300224076,14,14
